#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Global volume
1,益生菌,tw,4,32000,,30948,0.96,1.43,益生菌,2020/10/21 03:50,"Shopping results,Thumbnails,Adwords top,Sitelinks,Image pack,Adwords bottom",45000
2,義美,tw,10,22000,0,19694,0.91,1.4,義美,2020/10/23 00:41,"Adwords top,Sitelinks,Image pack",22000
3,三得利,tw,0,17000,0.09,16652,1,1.66,三得利,2020/10/21 04:43,"Adwords top,Sitelinks,Image pack,Shopping results,Thumbnails",18000
4,喜樂時代,tw,2,13000,,12233,0.91,2.15,喜樂時代,2020/10/21 10:25,"Sitelinks,Image pack",13000
5,葡萄王,tw,8,12000,,10980,0.9,1.51,葡萄王,2020/10/22 23:36,"Shopping results,Thumbnails,Adwords top,Sitelinks,Image pack",12000
6,飛比價格,tw,2,9800,,9590,0.98,1.97,飛比,2020/10/21 11:31,"Sitelinks,Image pack",9800
7,拉肚子,tw,2,6700,0.5,6628,0.99,1.25,拉肚子,2020/10/22 12:13,Image pack,7800
8,益生菌推薦,tw,2,5700,,8378,1.48,1.33,益生菌推薦,2020/10/22 14:07,"Shopping results,Thumbnails,Adwords top,Featured snippet",6400
9,善存,tw,0,5500,,5537,1.01,1.27,善存,2020/10/21 07:57,"Shopping results,Thumbnails,Adwords top,Adwords bottom",7700
10,木上益治,tw,0,4200,,5667,1.34,1.34,木上益治,2020/10/22 01:52,"Sitelinks,Image pack",8900
11,白蘭氏雞精,tw,2,4100,0.45,3975,0.96,1.21,白蘭氏雞精,2020/10/22 17:42,"Adwords top,Adwords bottom",5400
12,lp33,tw,1,3900,0.1,3926,1,1.31,lp33,2020/10/22 04:25,"Shopping results,Thumbnails,Adwords top,Sitelinks,Adwords bottom",4100
13,義美食品,tw,7,2700,0.2,2280,0.83,1.25,義美,2020/10/21 13:50,"Adwords top,Sitelinks,Image pack",2900
14,炎王龍,tw,0,2700,,2071,0.76,1.39,炎王龍,2020/10/22 21:49,Image pack,3800
15,好聰敏,tw,0,2400,,2337,0.99,3.84,好聰敏益生菌,2020/10/18 01:52,"Sitelinks,Image pack",2400
16,益生菌推薦2019,tw,5,2400,,3165,1.34,1.34,益生菌ptt,2020/10/23 10:03,"Featured snippet,Thumbnails",2500
17,比菲多,tw,1,2400,,1639,0.69,1.25,比菲多,2020/10/18 23:27,"Sitelinks,Image pack",2500
18,葡萄王益生菌,tw,0,2300,0.2,2893,1.24,1.25,葡萄王益生菌,2020/10/21 14:45,"Adwords top,Image pack",2300
19,白蘭,tw,0,2000,0.1,938,0.46,1.16,白蘭,2020/10/23 01:58,"Knowledge card,Thumbnails,Image pack",5100
20,胃發炎,tw,1,1900,,2487,1.32,1.33,胃發炎,2020/10/17 06:40,Image pack,2100
21,好聰敏益生菌,tw,0,1900,,2600,1.35,1.66,好聰敏益生菌,2020/10/21 08:07,"Sitelinks,Image pack",1900
22,導致 英文,tw,1,1900,0.9,1055,0.56,1.21,導致 英文,2020/10/18 04:05,Knowledge card,2700
23,葡眾益生菌,tw,0,1900,,2297,1.2,1.23,葡眾益生菌,2020/10/22 04:22,"Shopping results,Thumbnails,Image pack",1900
24,益生菌 ptt,tw,0,1800,,3344,1.89,1.24,益生菌 ptt,2020/10/21 04:08,Image pack,1800
25,改善 英文,tw,0,1600,0,363,0.23,1.16,改善 英文,2020/10/21 02:37,Knowledge card,2900
26,比菲德氏菌,tw,1,1500,,1378,0.93,1.31,比菲德氏菌,2020/10/17 06:10,"Shopping results,Thumbnails,Adwords top,Image pack",1900
27,成分 英文,tw,0,1500,0,360,0.24,1.19,成分 英文,2020/10/16 19:26,Knowledge card,2000
28,益暢敏,tw,0,1500,,1810,1.21,1.4,益暢敏,2020/10/22 02:30,"Adwords top,Image pack,Shopping results,Thumbnails",1500
29,拉肚子吃什麼,tw,3,1400,,1797,1.26,1.21,拉肚子,2020/10/20 00:43,"Featured snippet,Thumbnails",1400
30,洗鼻鹽,tw,1,1400,,1809,1.34,1.41,洗鼻器,2020/10/17 07:01,"Shopping results,Thumbnails,Adwords top,Featured snippet,Image pack",1400
31,lp33益生菌,tw,1,1400,,1985,1.41,1.37,lp33益生菌,2020/10/21 12:25,"Shopping results,Thumbnails,Adwords top,Sitelinks,Top stories,Image pack,Adwords bottom",1400
32,分解 英文,tw,0,1300,0,375,0.29,1.2,分解 英文,2020/10/22 20:07,"Knowledge card,Image pack",1900
33,仁丹,tw,0,1300,0.15,1156,0.88,1.3,仁丹,2020/10/20 00:46,"Adwords top,Sitelinks,Image pack",28000
34,減醣好好,tw,3,1300,,1391,1.11,1.36,減醣好好,2020/10/21 09:40,"Sitelinks,Image pack",1300
35,導致英文,tw,1,1200,,694,0.6,1.15,導致 英文,2020/10/18 19:10,Knowledge card,1700
36,細菌 英文,tw,0,1200,4,230,0.19,1.26,細菌 英文,2020/10/17 16:48,Knowledge card,1500
37,冒牌生,tw,5,1200,0,1247,1,1.27,冒牌生,2020/10/18 19:21,"Sitelinks,Image pack",1300
38,陰道 英文,tw,0,1200,0,313,0.26,1.16,陰道 英文,2020/10/20 19:10,Knowledge card,1500
39,活沛多,tw,0,1200,,928,0.79,1.18,活沛多,2020/10/17 23:26,Image pack,1200
40,過敏 英文,tw,0,1100,0,338,0.3,1.18,過敏 英文,2020/10/21 04:37,Knowledge card,1700
41,改善英文,tw,0,1100,,253,0.23,1.15,改善 英文,2020/10/18 20:57,Knowledge card,1600
42,黑元益生茶,tw,0,1100,,1823,1.68,1.18,黑元益生茶,2020/10/20 10:47,Image pack,1100
43,ab優酪乳,tw,1,1100,0.2,968,0.86,1.24,ab優酪乳,2020/10/20 09:10,Image pack,1100
44,costco 咖啡豆,tw,1,1100,,1564,1.4,1.27,costco 咖啡豆,2020/10/19 12:41,Image pack,1100
45,乳清蛋白 ptt,tw,0,1000,,1944,2.03,1.34,乳清蛋白ptt,2020/10/17 02:17,Image pack,1000
46,台塑益生菌,tw,0,1000,,1356,1.29,1.57,台塑益生菌,2020/10/22 23:41,"Shopping results,Thumbnails,Adwords top,Image pack,Adwords bottom",1000
47,益生菌 推薦,tw,3,1000,,1680,1.74,1.33,益生菌推薦,2020/10/16 06:44,"Featured snippet,Thumbnails,Top stories",1200
48,排便,tw,2,1000,0.4,1143,1.11,1.17,便秘,2020/10/18 16:47,"Shopping results,Thumbnails,Adwords bottom",5000
49,雷特氏症,tw,0,1000,,1048,1.07,1.25,雷特氏症,2020/10/21 10:10,Image pack,1400
50,葡萄 英文,tw,0,1000,0,182,0.19,1.21,葡萄 英文,2020/10/18 12:54,"Knowledge card,Image pack",1100
51,多元菌,tw,0,900,,1428,1.53,1.6,多元菌,2020/10/19 16:24,Sitelinks,3700
52,益生菌功效,tw,3,900,,977,1.09,1.39,益生菌,2020/10/18 16:49,"Adwords top,Featured snippet,Thumbnails,Sitelinks,Adwords bottom",900
53,定存推薦,tw,4,900,,1574,1.7,1.34,定存利率,2020/10/22 09:31,,900
54,差異 英文,tw,0,900,0,252,0.29,1.18,discrepancy,2020/10/21 07:25,Knowledge card,1300
55,大便 英文,tw,0,900,0,526,0.61,1.11,大便 英文,2020/10/16 02:09,Knowledge card,1300
56,三得利益生菌,tw,0,900,0.15,1166,1.27,1.33,三得利益生菌,2020/10/16 09:27,"Adwords top,Image pack,Adwords bottom,Shopping results,Thumbnails",900
57,costco 益生菌,tw,1,900,,1069,1.24,1.24,威德益生菌,2020/10/16 16:55,"Image pack,Adwords bottom",900
58,益生菌推薦2018,tw,5,800,,1283,1.64,1.31,益生菌ptt,2020/10/21 06:31,Sitelinks,1100
59,重疊 英文,tw,0,800,0,258,0.32,1.19,重疊 英文,2020/10/16 07:11,"Knowledge card,Image pack",1100
60,龍根菌,tw,0,800,0.2,770,0.93,1.25,龍根,2020/10/17 11:12,Image pack,800
61,幫助 英文,tw,0,800,0,332,0.4,1.09,協助 英文,2020/10/18 19:31,Knowledge card,1100
62,抑制 英文,tw,0,800,0,212,0.26,1.16,抑制 英文,2020/10/20 02:53,Knowledge card,1100
63,配方 英文,tw,0,800,0,183,0.22,1.34,recipe 中文,2020/10/16 10:07,Knowledge card,900
64,lp110特益菌,tw,0,800,,1221,1.5,1.36,lp110,2020/10/18 07:44,"Shopping results,Thumbnails,Image pack",800
65,善胃得,tw,0,800,,438,0.52,1.22,善胃得,2020/10/19 01:18,Image pack,1000
66,益生菌怎麼吃,tw,1,800,,846,1.06,1.2,益生菌怎麼吃,2020/10/20 01:12,"Adwords top,Featured snippet,Thumbnails",900
67,好市多益生菌,tw,0,800,,1052,1.28,1.43,威德益生菌,2020/10/22 18:15,"Image pack,Adwords bottom",800
68,好吃 英文,tw,4,800,0,381,0.45,1.19,好吃 英文,2020/10/20 19:57,Knowledge card,1000
69,膠囊 英文,tw,0,800,0,121,0.16,1.24,膠囊 英文,2020/10/18 01:01,"Knowledge card,Image pack",800
70,清大特殊選才,tw,0,700,,706,1.01,5.31,清大特殊選才,2020/10/19 22:15,Image pack,700
71,益生菌品牌,tw,3,700,,750,1.08,1.21,益生菌推薦,2020/10/21 13:41,"Shopping results,Thumbnails,Featured snippet,Image pack,Top stories",900
72,益生菌 過敏,tw,1,700,,991,1.38,1.23,益生菌 過敏,2020/10/16 17:18,"Shopping results,Thumbnails,Featured snippet,Image pack",700
73,腹瀉 英文,tw,0,700,0,213,0.3,1.14,拉肚子英文,2020/10/19 04:11,Knowledge card,1100
74,香料 英文,tw,0,700,0,175,0.24,1.17,香菜英文,2020/10/20 19:55,"Knowledge card,Image pack",1300
75,益生菌英文,tw,3,700,,212,0.32,1.21,益生菌英文,2020/10/17 06:56,"Knowledge card,Sitelinks",1000
76,腸胃益生菌推薦,tw,3,700,,795,1.2,1.24,益生菌推薦2018,2020/10/17 11:25,"Featured snippet,Thumbnails",900
77,李新 藝人,tw,0,700,0,550,0.84,1.36,李新,2020/10/18 20:17,"Sitelinks,Top stories,Thumbnails",700
78,乳清蛋白推薦品牌,tw,1,700,,771,1.11,1.25,乳清蛋白推薦,2020/10/16 21:36,"Featured snippet,Sitelinks,Image pack",800
79,costco 優格,tw,1,700,,1274,1.9,1.24,costco 優格,2020/10/17 05:25,Image pack,700
80,木寡糖,tw,0,700,,739,1.02,1.42,木寡糖,2020/10/20 06:53,Image pack,700
81,過敏英文,tw,0,700,,222,0.34,1.28,過敏 英文,2020/10/16 07:02,"Knowledge card,Top stories,Thumbnails,Image pack",700
82,好市多 益生菌,tw,0,700,,916,1.36,1.2,威德益生菌,2020/10/20 21:46,"Shopping results,Thumbnails,Image pack",700
83,發炎英文,tw,0,700,,172,0.26,1.2,發炎英文,2020/10/22 09:57,Knowledge card,1200
84,益暢敏益生菌,tw,0,600,,753,1.18,1.39,益暢敏,2020/10/16 07:41,"Top stories,Thumbnails,Image pack",600
85,有效 英文,tw,0,600,0,141,0.23,1.16,有效的 英文,2020/10/17 16:40,Knowledge card,1000
86,益生菌 英文,tw,3,600,,151,0.27,1.28,益生菌,2020/10/21 11:02,"Knowledge card,Sitelinks,Image pack",1300
87,超代謝酵素膠囊,tw,0,600,,1002,1.72,1.32,超代謝酵素膠囊,2020/10/20 01:43,"Shopping results,Thumbnails,Image pack",600
88,台糖益生菌,tw,0,600,,1071,1.71,1.3,台糖益生菌,2020/10/20 20:40,"Shopping results,Thumbnails,Adwords top,Image pack",600
89,乳酸菌 英文,tw,0,600,0,265,0.41,1.33,乳酸菌 英文,2020/10/22 04:06,"Adwords top,Knowledge card,Image pack",800
90,合適的 英文,tw,0,600,,145,0.23,1.19,適合 英文,2020/10/22 02:16,Knowledge card,700
91,腸胃炎 英文,tw,0,600,0,346,0.62,1.22,腸胃炎 英文,2020/10/16 05:02,"Knowledge card,Sitelinks,Image pack",1000
92,酵素王,tw,0,600,,715,1.11,2.68,酵素王,2020/10/20 23:31,"Shopping results,Thumbnails,Image pack",700
93,味王調理包,tw,0,600,,680,1.23,1.3,味王調理包,2020/10/19 14:33,"Shopping results,Thumbnails,Image pack,Adwords bottom",600
94,大腸 英文,tw,1,600,0,255,0.4,1.15,大腸 英文,2020/10/19 15:54,"Knowledge card,Image pack",800
95,大研生醫,tw,0,600,,672,1.08,1.31,大研生醫,2020/10/19 23:45,"Shopping results,Thumbnails,Adwords top,Sitelinks,Image pack",600
96,酵素 英文,tw,0,600,0,146,0.25,1.29,酵素 英文,2020/10/16 23:14,"Knowledge card,Sitelinks",1000
97,喜樂纖評價,tw,1,600,,802,1.34,1.34,喜樂纖評價,2020/10/17 07:44,Image pack,600
