rank_page,word,count_sum,count_mean,tfidf_mean,rank_article,rank_page_count,article_count,current_page_count,first_appear
1,2016,5,5.0,0.007649816376618402,9,1,1,1,1
1,2018,4,4.0,0.004420563319743745,9,2,2,1,1
1,2021,11,11.0,0.019930206500026356,9,1,1,1,1
1,300億機能益生菌,4,4.0,0.027571364769415317,9,1,1,1,1
1,80,4,4.0,0.00571761574476006,9,1,1,1,1
1,A17,5,5.0,0.022078875480521083,9,1,1,1,1
1,BB536,4,4.0,0.01400096432515074,9,1,1,1,1
1,BRAP,9,9.0,0.04367382854259591,9,1,1,1,1
1,Bifidobacterium,4,4.0,0.02524308288498879,9,3,4,1,1
1,BioOne,8,8.0,0.02739156498100188,9,1,1,1,1
1,CRL1505,6,6.0,0.030151856080069962,9,1,1,1,1
1,EFSA,5,5.0,0.04316327081725803,9,1,1,1,1
1,Enterococcus,4,4.0,0.022827394883468133,9,2,2,1,1
1,HB89,9,9.0,0.05272989249434186,9,1,1,1,1
1,HN019,9,9.0,0.03391583133101241,9,1,1,1,1
1,IMC501,4,4.0,0.027559630192811938,9,1,1,1,1
1,K21,10,10.0,0.04915694106004991,9,1,1,1,1
1,K47,6,6.0,0.0335679332163672,9,1,1,1,1
1,KM97,5,5.0,0.031448422140981584,9,1,1,1,1
1,LGG,17,17.0,0.04812499181486293,9,4,6,1,1
1,LJ菌,1,1.0,0.011480204077401364,9,3,3,1,1
1,LP,44,22.0,0.0604232715157179,9,2,3,2,1
1,LP33,7,7.0,0.02073362673726437,9,2,2,1,1
1,Lactobacillus,40,10.0,0.03929622452189284,9,7,16,4,1
1,NCFM,10,10.0,0.03903118370440635,9,2,2,1,1
1,PS128,10,10.0,0.040604753032795496,9,1,1,1,1
1,PS23,6,6.0,0.02966192194894836,9,1,1,1,1
1,Probiotics,8,8.0,0.038566818509711255,9,1,1,1,1
1,SP1,4,4.0,0.0160828622111712,9,1,1,1,1
1,pH,5,5.0,0.034830275669267025,9,2,2,1,1
1,paracasei,8,8.0,0.0316727902193522,9,2,2,1,1
1,plantarum,7,7.0,0.026138756524521814,9,2,2,1,1
1,product,14,7.0,0.022009613201139696,9,1,2,2,1
1,products,8,4.0,0.013709493253473756,9,1,2,2,1
1,rhamnosus,7,7.0,0.026208863777422875,9,3,3,1,1
1,一家人益生菌評價,1,1.0,0.006042431334033226,9,1,1,1,1
1,三得利,4,4.0,0.009243095817152146,9,1,1,1,1
1,三得利益生菌,2,2.0,0.009759770442780523,9,2,2,1,1
1,不適,8,8.0,0.05996510510077537,9,2,2,1,1
1,中文,8,4.0,0.005576226651205008,9,1,2,2,1
1,主菌,6,6.0,0.02609250366464329,9,1,1,1,1
1,主菌種,21,10.5,0.059259393862773985,9,1,2,2,1
1,主要,6,6.0,0.0034093297865676274,9,3,3,1,1
1,乳桿菌,3,1.5,0.007576558723792568,9,8,11,2,1
1,乳桿菌屬,3,1.5,0.018300200694951255,9,3,4,2,1
1,乳酸乳球菌,2,2.0,0.008844843812091382,9,3,3,1,1
1,乳酸桿菌,3,1.0,0.004448501375356031,9,8,18,3,1
1,乳酸菌,33,5.5,0.010267474330678405,9,10,43,6,1
1,乳酸菌但非益生菌,1,1.0,0.008514143681490059,9,1,1,1,1
1,乾酪乳桿菌,1,1.0,0.003155733130125975,9,6,9,1,1
1,乾酪乳酸桿菌,1,1.0,0.015058605991798094,9,5,6,1,1
1,了解,21,10.5,0.0072208063087613305,9,2,3,2,1
1,亞硝胺,4,4.0,0.04344732914365309,9,1,1,1,1
1,人體,12,4.0,0.011809634539343741,9,9,16,3,1
1,介紹,9,9.0,0.008063891006073316,9,2,2,1,1
1,代謝,10,10.0,0.01983808568836706,9,1,1,1,1
1,使用,66,11.0,0.0040424338608394,9,7,19,6,1
1,來源,5,5.0,0.008843869535261388,9,5,7,1,1
1,依賴,5,5.0,0.03268040366233662,9,2,2,1,1
1,便祕,5,5.0,0.012920221726176151,9,2,2,1,1
1,便秘,11,11.0,0.009925881957084387,9,3,3,1,1
1,促進,5,5.0,0.009137712009029226,9,3,3,1,1
1,保健,14,14.0,0.005061332045453547,9,5,5,1,1
1,保存,4,4.0,0.013161879731871415,9,5,5,1,1
1,保養,17,8.5,0.01036288842624189,9,4,6,2,1
1,健康,31,5.166666666666667,0.0003439856253300659,9,10,39,6,1
1,價格,10,10.0,0.010526238990195088,9,2,2,1,1
1,優格,7,7.0,0.04953076525504298,9,5,6,1,1
1,優酪乳,12,6.0,0.03943445365195666,9,4,5,2,1
1,兒童益生菌,1,1.0,0.002859627844515909,9,1,1,1,1
1,兒童益生菌推薦,1,1.0,0.004419740626623059,9,1,1,1,1
1,入睡,4,4.0,0.009016960297818913,9,1,1,1,1
1,內容,4,4.0,0.0050201528844011295,9,2,2,1,1
1,具備,5,5.0,0.010862349961470496,9,2,2,1,1
1,具有,4,4.0,0.002971477819908634,9,5,6,1,1
1,分成,4,4.0,0.009176336279661022,9,1,1,1,1
